1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.55,0.55,,0.34,0.49,0.49,,,,0.08,0,0,0.45,0.55,0.43,0.58,0.62,0.61,0.64,0.66,0.68,0.71,0.72,0.7,
0.97,0.98,0.99,1.01,0.98,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.96,0.96, , , , , , , , , , ,
0.84,0.85,0.86,0.86,0.87,0.88,0.89,0.9,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.95,
1.01,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,
0.92,0.91,0.86,,,,,,0.82,,, ,, , ,,, ,0.86,0.85,0.81,0.64,,,
,,0.92,,,,,,,, ,,,,,,,0.97,0.96,0.96,0.92,0.92,0.93,,
0.99,0.99,,,,,0.99,1,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.99,0.99,,
,1.05,1.03,1.03,1.04,1.02,1.02,1.05,,1.08,1,1.02,1.02,1.03,1.06,1.08,1.1,1.1,1.1,1.14, , , , ,
,,,,,,,,,0.98,0.97,0.97,0.95,0.93,0.92,0.94,0.96,0.96,0.96,0.97,0.99,0.97,1.03,,
1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,
1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,0.99,0.99,0.98,0.98,0.99,0.99,0.99,1,1,
,0.99,1,0.99,0.96,1.14,1.1,0.99,0.99,1,0.98,0.98,0.98,0.94,0.96,0.95,0.94,1,0.99,0.99,0.99,0.98,0.98,,
,,1.01,1.02,,1,1.04,1,1,0.97,,,1,,0.99,0.99,0.99,0.99,1,1.03,1.02,,,,
1.03,1.01,1.01,1.02,1.02,1.01,1,0.99,0.98,0.97, , , , , , , ,, , , , , , ,
0.84,,,,,,,,, ,,,, ,,1.05,1.06,1.08,1.07,1.05,1.07,1.06,, ,
0.98,,1.01,,,,,,,1.04,1.05,1.06,1.07,1.06,1.06,1.07,1.05,1.07,1.05,1.04,1.02,0.99,,,
,,,0.99,0.99,0.96,0.96,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.97,0.97,0.98,0.98,1,0.99,1,1,1,1,
1.01,1.01,1.01,0.99,0.99,0.99,0.99,,,0.99,0.99,0.99,0.99,0.99,1,1,0.99,1,1,1,1,1,0.99,1,
,0.96,0.95,0.95,0.95,0.96,0.95,0.96,,0.96,0.95,0.96,0.96,0.97,0.97,0.96,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.96,
0.5,0.49,0.5,0.51,0.54,0.55,0.57,0.59,0.62,0.64,0.67,0.68,0.7,0.72,0.75,0.77,0.8,,0.84,0.86,0.88,0.88,0.89,0.9,
,,,,,1,,1,,,,1.01,1.04,1.04,1.06,1.05,1.07,,,,1,0.98,0.97,0.97,
,0.6,0.75,0.76,0.77,0.78,0.8,0.82,0.83,0.85,0.87,0.89,0.91,0.94,0.97,0.97,0.99,0.99,1.01,1.02,1.02,1.02,1.02,1.01,
0.93,0.94,0.94,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,1,,1,1,0.99,0.99,0.99,0.98,0.98,0.97,
1.07,1.07,1.05,1.04,1.03,1.01,1.01,1.01,1,1,1,1,0.99,0.99,0.98,0.99,0.98,0.97,0.97,0.97,,,0.97,,
,0.94,0.95,0.97,0.97,0.97,0.98,0.97,0.97,0.95,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,
0.98,0.98,0.98,0.98,1,0.99,0.98,0.98,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,1,1,1,1,0.99,0.99,
0.63,0.64,0.65,0.65,0.66,0.66,0.67,,0.69,0.7,0.71,0.72,0.74,0.75,0.78,0.8,0.82,0.84,0.87,0.89,0.91,0.93,0.95,0.97,
0.8,0.84,0.82,0.82,,0.8,0.85,0.84,0.81,0.78,0.79,0.79,0.77,0.79,0.82,0.84,0.89,0.91,0.93,0.95,0.97,0.98,0.99,1.01,
,,,,0.84,0.82,,0.83,0.84,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.94,0.94,0.96,0.95,0.95,0.93,
0.86,0.86,0.92,,0.9,0.9,0.86,0.87,0.83,0.82,0.85,0.87,0.86,0.85,0.86,0.84,0.84,0.86,0.86,0.87,0.86,0.87,0.88,,0.89
0.99,0.98,0.99,0.99,0.99,0.99,0.99,,1,1,1,,,,0.99,0.99,0.99,1,1,1,1,1.01,1.01,,
0.97,0.99,,,0.97,,,,0.96,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.91,0.92,
,,,,,,,,, , , , ,, , , , , ,,, , , ,
0.63,0.64,0.66,,,,,,,,,0.68,0.67,0.69,0.66,0.69,0.69,0.7,0.7,0.71,0.71,0.73,0.74,,
0.44,0.46,0.48,0.48,0.48,0.49,0.5,0.53,0.55,0.59,0.61,0.64,0.65,0.67,0.66,0.68,0.68,0.7,0.71,0.71,0.74,0.75,0.76,0.77,
,,,,,,,,,,,,,,,,,,,,,,,,
0.98,0.98,0.98,0.98,,,0.97,0.97,0.97,0.97,0.98,,0.98,0.97,0.95,0.96,0.95,0.95,0.95,0.95,0.97,0.97,0.97,0.97,
0.9,0.91,0.93,0.93,0.94,0.96,0.97,0.98,0.99, , ,1.01,1.01,1.01, , ,1,1,1,1,1,1,1,1.01,
