Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,developed
Afghanistan,0.55,0.55,0.0,0.34,0.49,0.49,0.0,0.0,0.0,0.08,0,0,0.45,0.55,0.43,0.58,0.62,0.61,0.64,0.66,0.68,0.71,0.72,0.7,0.0,0.0,0.0,0
Albania,0.97,0.98,0.99,1.01,0.98,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.96,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Algeria,0.84,0.85,0.86,0.86,0.87,0.88,0.89,0.9,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.0,0.0,0.0,0
American Samoa,1.01,1.02,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Angola,0.92,0.91,0.86,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.85,0.81,0.64,0.0,0.0,0.0,0.0,0.0,0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antigua and Barbuda,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.96,0.96,0.92,0.92,0.93,0.0,0.0,0.0,0.0,0
Argentina,0.99,0.99,0.0,0.0,0.0,0.0,0.99,1,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.0,0.0,0.0,0.0,0
Armenia,0.0,1.05,1.03,1.03,1.04,1.02,1.02,1.05,0.0,1.08,1,1.02,1.02,1.03,1.06,1.08,1.1,1.1,1.1,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.97,0.97,0.95,0.93,0.92,0.94,0.96,0.96,0.96,0.97,0.99,0.97,1.03,0.0,0.0,0.0,0.0,0
Australia,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.0,0.0,0.0,1
Austria,1,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,0.99,0.99,0.98,0.98,0.99,0.99,0.99,1,1,0.0,0.0,0.0,1
Azerbaijan,0.0,0.99,1,0.99,0.96,1.14,1.1,0.99,0.99,1,0.98,0.98,0.98,0.94,0.96,0.95,0.94,1,0.99,0.99,0.99,0.98,0.98,0.0,0.0,0.0,0.0,0
Bahamas,0.0,0.0,1.01,1.02,0.0,1,1.04,1,1,0.97,0.0,0.0,1,0.0,0.99,0.99,0.99,0.99,1,1.03,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0
Bahrain,1.03,1.01,1.01,1.02,1.02,1.01,1,0.99,0.98,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bangladesh,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.06,1.08,1.07,1.05,1.07,1.06,0.0,0.0,0.0,0.0,0.0,0
Barbados,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.05,1.06,1.07,1.06,1.06,1.07,1.05,1.07,1.05,1.04,1.02,0.99,0.0,0.0,0.0,0.0,0.0,0
Belarus,0.0,0.0,0.0,0.99,0.99,0.96,0.96,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.97,0.97,0.98,0.98,1,0.99,1,1,1,1,0.0,0.0,0.0,1
Belgium,1.01,1.01,1.01,0.99,0.99,0.99,0.99,0.0,0.0,0.99,0.99,0.99,0.99,0.99,1,1,0.99,1,1,1,1,1,0.99,1,0.0,0.0,0.0,1
Belize,0.0,0.96,0.95,0.95,0.95,0.96,0.95,0.96,0.0,0.96,0.95,0.96,0.96,0.97,0.97,0.96,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.96,0.0,0.0,0.0,0
Benin,0.5,0.49,0.5,0.51,0.54,0.55,0.57,0.59,0.62,0.64,0.67,0.68,0.7,0.72,0.75,0.77,0.8,0.0,0.84,0.86,0.88,0.88,0.89,0.9,0.0,0.0,0.0,0
Bermuda,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1.01,1.04,1.04,1.06,1.05,1.07,0.0,0.0,0.0,1,0.98,0.97,0.97,0.0,0.0,0.0,1
Bhutan,0.0,0.6,0.75,0.76,0.77,0.78,0.8,0.82,0.83,0.85,0.87,0.89,0.91,0.94,0.97,0.97,0.99,0.99,1.01,1.02,1.02,1.02,1.02,1.01,0.0,0.0,0.0,0
Bolivia,0.93,0.94,0.94,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,1,0.0,1,1,0.99,0.99,0.99,0.98,0.98,0.97,0.0,0.0,0.0,0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Botswana,1.07,1.07,1.05,1.04,1.03,1.01,1.01,1.01,1,1,1,1,0.99,0.99,0.98,0.99,0.98,0.97,0.97,0.97,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brunei Darussalam,0.0,0.94,0.95,0.97,0.97,0.97,0.98,0.97,0.97,0.95,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.0,0.0,0.0,0
Bulgaria,0.98,0.98,0.98,0.98,1,0.99,0.98,0.98,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,1,1,1,1,0.99,0.99,0.0,0.0,0.0,1
Burkina Faso,0.63,0.64,0.65,0.65,0.66,0.66,0.67,0.0,0.69,0.7,0.71,0.72,0.74,0.75,0.78,0.8,0.82,0.84,0.87,0.89,0.91,0.93,0.95,0.97,0.0,0.0,0.0,0
Burundi,0.8,0.84,0.82,0.82,0.0,0.8,0.85,0.84,0.81,0.78,0.79,0.79,0.77,0.79,0.82,0.84,0.89,0.91,0.93,0.95,0.97,0.98,0.99,1.01,0.0,0.0,0.0,0
Cambodia,0.0,0.0,0.0,0.0,0.84,0.82,0.0,0.83,0.84,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.94,0.94,0.96,0.95,0.95,0.93,0.0,0.0,0.0,0
Cameroon,0.86,0.86,0.92,0.0,0.9,0.9,0.86,0.87,0.83,0.82,0.85,0.87,0.86,0.85,0.86,0.84,0.84,0.86,0.86,0.87,0.86,0.87,0.88,0.0,0.89,0.0,0.0,0
Canada,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.0,1,1,1,0.0,0.0,0.0,0.99,0.99,0.99,1,1,1,1,1.01,1.01,0.0,0.0,0.0,0.0,1
Cape Verde,0.97,0.99,0.0,0.0,0.97,0.0,0.0,0.0,0.96,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.91,0.92,0.0,0.0,0.0,0
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Central African Republic,0.63,0.64,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.67,0.69,0.66,0.69,0.69,0.7,0.7,0.71,0.71,0.73,0.74,0.0,0.0,0.0,0.0,0
Chad,0.44,0.46,0.48,0.48,0.48,0.49,0.5,0.53,0.55,0.59,0.61,0.64,0.65,0.67,0.66,0.68,0.68,0.7,0.71,0.71,0.74,0.75,0.76,0.77,0.0,0.0,0.0,0
Channel Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Chile,0.98,0.98,0.98,0.98,0.0,0.0,0.97,0.97,0.97,0.97,0.98,0.0,0.98,0.97,0.95,0.96,0.95,0.95,0.95,0.95,0.97,0.97,0.97,0.97,0.0,0.0,0.0,0
China,0.9,0.91,0.93,0.93,0.94,0.96,0.97,0.98,0.99,0.0,0.0,1.01,1.01,1.01,0.0,0.0,1,1,1,1,1,1,1,1.01,0.0,0.0,0.0,0
"China, Hong Kong Special Administrative Region",0.0,0.0,0.0,0.0,0.0,1,0.99,0.0,0.98,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,0.0,0
"China, Macao Special Administrative Region",0.95,0.96,0.96,0.96,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Colombia,1.15,1.02,1.06,1.02,0.99,0.99,1,0.0,0.97,1,1,0.99,0.99,0.0,0.99,0.98,0.98,0.99,0.99,1,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0
Comoros,0.7,0.73,0.84,0.87,0.82,0.0,0.0,0.0,0.85,0.85,0.85,0.0,0.82,0.82,0.88,0.0,0.0,0.9,0.92,0.0,0.0,0.85,0.0,0.94,0.0,0.0,0.0,0
Congo,0.94,0.92,0.94,0.94,0.94,0.85,0.94,0.9,0.9,0.96,0.92,0.94,0.94,0.94,0.94,0.93,0.91,0.93,0.93,0.93,0.95,0.94,1.07,0.0,0.0,0.0,0.0,0
Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.95,1.01,0.96,0.96,0.97,0.0,1.03,0.0,0.95,0.0,1.01,0.99,0.97,0.95,0.98,0.0,0.0,0.0,0
Costa Rica,0.99,0.99,0.99,0.99,1,1,1,0.99,0.99,0.99,0.98,0.99,0.98,0.0,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.0,0.0,0.0,0
Cote d'Ivoire,0.71,0.71,0.71,0.71,0.72,0.73,0.73,0.74,0.75,0.75,0.75,0.77,0.74,0.8,0.0,0.0,0.8,0.8,0.8,0.82,0.0,0.84,0.85,0.87,0.0,0.0,0.0,0
Croatia,0.0,0.0,0.0,1,1,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.0,1,0.99,1,1,1,1,0.99,1,0.0,0.0,0.0,0.0,1
Cuba,0.96,0.97,0.99,0.99,1,1,0.97,0.97,0.96,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.0,0.0,0.0,0
Cyprus,1,1,0.99,1,1,1,0.99,1,0.0,1,1,1,1,1,1,1,1,0.99,0.99,0.99,1,0.99,1,0.0,0.0,0.0,0.0,1
Czech Republic,1,1,1.17,1.01,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1.01,1.01,0.0,0.0,0.0,1
Czechoslovakia [former],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Democratic Republic of the Congo,0.71,0.75,0.76,0.78,0.75,0.69,0.0,0.0,0.74,0.91,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.81,0.84,0.85,0.87,0.87,0.88,0.9,0.0,0.0,0.0,0
Denmark,1,1,1,1,1,1,1,0.0,1,1,1,1,1,0.0,1,1,1,1,1.01,1,1,0.99,0.99,0.99,0.0,0.0,0.0,1
Djibouti,0.74,0.72,0.73,0.78,0.78,0.78,0.75,0.75,0.76,0.72,0.74,0.75,0.77,0.0,0.8,0.82,0.82,0.87,0.89,0.9,0.0,0.91,0.9,0.88,0.87,0.0,0.0,0
Dominica,0.94,0.98,1.01,1.07,1.11,1.14,0.0,0.0,0.0,1.03,1.02,1.01,1,1.01,1,1,0.99,0.97,0.97,0.97,0.98,0.99,0.97,0.98,0.0,0.0,0.0,0
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.98,0.97,0.0,1.01,1.01,0.95,0.95,0.95,0.94,0.93,0.86,0.88,0.91,0.91,0.0,0.0,0.0,0.0,0
Ecuador,0.0,0.0,0.0,0.99,0.99,0.99,0.99,0.99,1,1,0.99,1,1,1,1,1,0.99,1,0.0,1.01,1,1,1,1,0.0,0.0,0.0,0
Egypt,0.84,0.83,0.85,0.86,0.85,0.88,0.76,0.87,0.0,0.92,0.92,0.93,0.94,0.95,0.96,0.94,0.94,0.95,0.0,0.96,0.96,0.94,0.96,0.98,0.0,0.0,0.0,0
El Salvador,0.0,0.99,0.99,0.99,0.0,1,0.98,0.99,0.98,0.97,0.96,0.97,0.96,0.97,0.97,0.97,0.97,1,0.97,0.97,0.96,0.96,0.96,0.96,0.0,0.0,0.0,0
Equatorial Guinea,0.0,0.0,0.0,0.94,0.96,0.0,0.0,0.0,0.0,0.0,0.82,0.96,0.94,0.97,0.0,0.95,0.0,0.0,0.95,0.96,0.97,0.98,0.98,0.0,0.0,0.0,0.0,0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Estonia,0.97,0.97,0.97,0.98,0.98,0.97,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.97,0.97,0.98,0.99,0.99,0.99,1,1.01,1.01,1,0.0,0.0,0.0,1
Ethiopia,0.66,0.67,0.73,0.7,0.63,0.6,0.57,0.56,0.59,0.61,0.65,0.69,0.72,0.73,0.78,0.84,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
European Union (EU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Faeroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fiji,0.0,1,0.99,0.0,0.99,1,0.98,0.98,0.99,0.99,0.98,0.99,1.01,1,0.99,0.0,0.99,0.98,1,0.98,0.0,1,1.01,0.0,0.0,0.0,0.0,0
Finland,0.99,0.99,1,1,1,1,1,1,1,1,0.99,0.99,0.99,0.99,0.99,0.99,1,1,0.99,0.99,0.99,0.99,0.99,1,0.0,0.0,0.0,1
France,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,0.0,0.0,0.0,1
French Guiana,0.0,0.0,0.0,0.0,0.97,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
French Polynesia,0.96,0.96,0.97,0.98,0.97,0.98,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gabon,0.0,0.0,1,0.0,1,1,1,1,0.0,1,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0
Gambia,0.0,0.0,0.69,0.71,0.73,0.75,0.78,0.8,0.82,0.84,0.87,0.9,0.9,0.98,1.01,1.03,1.05,1.05,1.06,0.0,1.02,1.04,1.04,1.04,0.0,0.0,0.0,0
Georgia,0.0,1,0.99,1,0.93,0.98,1.01,0.99,1,0.99,0.99,1.01,1.01,0.98,0.96,0.97,1.02,0.98,1,1.01,1.03,1.03,1.01,1.01,0.0,0.0,0.0,0
Germany,0.0,0.0,1.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1,1,1,1,0.99,1,0.99,0.0,0.0,0.0,1
Ghana,0.84,0.86,0.87,0.88,0.89,0.9,0.0,0.0,0.0,0.92,0.93,0.94,0.94,0.98,0.94,0.96,0.98,0.98,0.98,0.98,0.0,0.99,0.96,1,1,0.0,0.0,0
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greece,1,0.99,1,1,1,1.02,1,1.01,1,1,1,1,0.99,0.99,0.99,1,1,1,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,1
Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
