2000,2002,2004,2006,2008,2010,2012
 , , , , , , 
 , , , ,98.8, , 
 ,90.1, ,91.8, , , 
 , , , , , , 
 , , , , , , 
 , , , , , ,73
 , , , , , , 
 , , , , , , 
 , , , , , ,99.2
 , , , , , , 
99, , , , ,99.1, 
 , , , , , , 
 , , , , , , 
 , , , , ,100,99.9
 , , , , , , 
 , , , , ,98.2, 
 , , , , , ,79.9
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 ,45.3, ,42.4, , , 
 , , , , , , 
 , , , , , , 
 , , , ,99.1, ,99
99.8, , , , , ,99.7
 , , , , , ,96
94.2, ,96.8,97.6,97.8,97.5,98.6
 , , , , , , 
 , , , , , ,99.8
 , , , , , , 
 , , ,32.7, , , 
73.3, , , ,88.9, , 
 , ,83.4, ,87.5, , 
83.1, , , , ,80.6, 
 , , , , , , 
 , ,97.1, , , ,98.1
 , , , , , , 
60.8, , , , ,36.4, 
37.6, ,41.7, , , ,48.9
 , , , , , , 
 ,99, , ,99.2, , 
98.9, , , , ,99.6, 
 , , , , , , 
 , , ,99.6, , , 
 , ,98,97.9,98,98.1, 
80.2, , , , , ,86.4
 , , , , , , 
 , , , , , , 
97.6, , , , , , 
60.7, , , , , ,48.3
 , , , , , , 
 ,100, , , , ,100
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 ,94.2, , , ,96.8,97
 , , , , ,98.7,98.8
 , , ,84.9, ,87.5,89.3
 , ,92.2,95,96,96, 
97.1, , , , , ,98.1
 ,77.9, , , , ,91
99.8, , , , , , 
 , ,49.9, , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , ,90.9, , , ,88.5
52.6, , , , , ,69.4
 ,99.8, , , , ,99.8
 , , , , , , 
70.7, , , , ,85.7, 
 , , , , , , 
 , , , , , ,99.4
 , , , , , , 
 , , , , , , 
 , ,99.9, , , ,99.9
 , , , , , , 
 ,82.2, , , , ,93.7
 , , , , ,31.4, 
59.5, , , , , ,74.3
 , , , , , , 
 , , ,72.3, , , 
 , , , , ,95.2,95
 , ,99, , , ,99.4
 , , , , , , 
 , , ,81.1, , , 
 , ,98.7,96.7,99.5, , 
 ,93, ,96.6,98.7, ,98
84.8, , , , , ,82.2
 , , , , , , 
 , , , , , , 
 , , , , , ,99.9
 , , , , , ,95.9
 , , , , , , 
 , , , , ,98.8,99.1
 , , , , , , 
92.5, , , , , , 
 , , , , , , 
 , , , ,100, , 
 , , , , , , 
 , , ,98.5,98.6, ,98.8
 , , , , , , 
80.6, , , , , , 
99.8, , , , , , 
 , , , , , , 
90.9, , , , , , 
