Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan, , , , , , , , , , , , , , ,15.33,16.71,17.36,18.31,23.02,21.19,21.04,22.47,23.61, , , , 
Albania, ,4.71,14.9,26.78,31.99,33.54,36.73,47.8,56.78,55.78,53.99,54.14,57.43,56.43,56.21,55.65,54.24,55.09,54.81,54.27,58.9,58.17,57.68, , , , 
Algeria,10.98,13.26,16.95,19.85,24.96,31.51,36.33,37.54,38.79,38.96,37.82,38.33,38.27,39.02,39.51,38.74,38.4,38.7,39.09,41.47,42.4,42.96,45.84, , , , 
American Samoa, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Andorra, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Angola,0,0,0,0,0,0,0.05,0.15,0.31,1.05,4.33,10.64,21.88,42.41,59.28,70.5,77.39,84.46,91.48,104.41,117.59,129.35,139.77, , , , 
Anguilla, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Antigua and Barbuda, , , , , , , , ,2.2,2.18,2.13,2.1,2.11,2.11,2.09,2.07,2.04,2.01,2.04,2.04,2.07,2.08,2.1, , , , 
Argentina,0.31,0.81,0.98,1.06,1.07,1.08,1.05,1.03,1.02,0.99,0.95,0.91,1.13,1.25,1.28,1.35,1.45, , , , , , , , , , 
Armenia, , , ,1.23,54.31,145.79,168.1,187.19,200.32,197.3,189.34,189.93,188.95,193.48,201.55,196.19,195.55,198.51,208.28,216.15,230.06,240.08,241.22, , , , 
Aruba, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Australia,1.38,1.39,1.38,1.38,1.37,1.38,1.38,1.37,1.38,1.37,1.38,1.4,1.42,1.46,1.44,1.46,1.5,1.51,1.53,1.54,1.55,1.53,1.54, , , , 
Austria,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.93,0.91,0.93,0.91,0.9,0.9,0.89,0.87,0.88,0.87,0.86,0.85,0.85,0.86, , , , 
Azerbaijan, ,0,0,0,0.06,0.32,0.37,0.37,0.36,0.33,0.32,0.32,0.32,0.32,0.33,0.35,0.37,0.42,0.49,0.5,0.52,0.54,0.54, , , , 
Bahamas,0.94,0.96,0.99,0.99,0.98,0.97,0.95,0.94,0.94,0.93,0.91,0.9,0.91,0.92,0.9,0.89,0.88,0.88,0.88,0.9,0.9,0.9,0.9, , , , 
Bahrain,0.43,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.36,0.35,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.33,0.33,0.32,0.32, , , , 
Bangladesh,17.77,18.13,18.24,18.25,18.73,20.1,19.99,20.57,21.95,22.8,22.54,22.36,22.74,23.5,24.62,25.49,26.37,27.97,29.34,31.04,33.02,35.43,36.87, , , , 
Barbados,1.45,1.47,1.52,1.49,1.45,1.44,1.43,1.51,1.47,1.46,1.45,1.44,1.42,1.41,1.39,1.43,1.49,1.5,1.57,1.63,1.7,1.8,1.84, , , , 
Belarus, , ,0,0.03,0.7,5.53,8.21,13.15,22.39,86.27,224.16,351.28,492.88,618.81,711.8,759.62,787.64,830.28,918.23,1040.8,1103.22,1638.72,2556.27, , , , 
Belgium,0.95,0.95,0.94,0.94,0.94,0.94,0.93,0.93,0.96,0.95,0.91,0.91,0.9,0.93,0.93,0.92,0.92,0.92,0.92,0.9,0.9,0.88,0.88, , , , 
Belize,1.59,1.59,1.59,1.56,1.56,1.56,1.62,1.6,1.56,1.51,1.47,1.44,1.45,1.46,1.46,1.46,1.48,1.47,1.51,1.5,1.55,1.45,1.44, , , , 
