CountryCode,Country,lat,long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4,Afghanistan,33.93911,67.709953,,21,21,21,21,21,21,22,22,23,23,24,25,25,26,26,27,27,28,29,29,30,31,31,32,32
8,Albania,41.153332,20.168331,78,78,78,78,79,79,80,81,82,83,83,84,85,86,87,87,88,89,90,90,91,92,92,93,93,93
12,Algeria,28.033886,1.659626,80,81,81,81,81,82,82,83,83,83,84,84,84,85,85,85,86,86,86,86,87,87,87,87,87,88
16,American Samoa,-14.270972,-170.132217,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63
20,Andorra,42.546245,1.601554,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,Angola,-11.202692,17.873887,22,23,23,24,24,26,27,28,29,31,32,34,35,36,38,39,40,42,43,45,46,48,49,51,51,52
660,Anguilla,18.220554,-63.068615,,,,,,92,92,92,92,92,92,93,93,94,94,95,95,96,96,97,97,98,98,98,98,98
28,Antigua and Barbuda,17.060816,-61.796428,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90,91,91,91,91,91,,,,
32,Argentina,-38.416097,-63.616672,87,88,88,89,89,90,90,90,91,91,91,92,92,93,93,93,94,94,94,95,95,95,96,96,96,96
51,Armenia,40.069099,45.038189,,,90,90,90,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90
533,Aruba,12.52111,-69.968338,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
36,Australia,-25.274398,133.775136,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
40,Austria,47.516231,14.550072,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
